field_order,field_type,field_id,label,description,data_source,required,placeholder,options_type,default_value
1,input,validation_key,Validation key,CMIP code name,none,true,,,
2,input,ui_label,Label,Human-readable name,none,true,e.g. Historical,,
3,textarea,description,Description,Detailed scientific description,none,true,Provide comprehensive description,,
4,textarea,url,URL,A link to the associated research paper,none,false,e.g. https://wcrp-cmip.org/,,
5,input,acronyms,Acronyms,Organisation acronyms,none,false,e.g. AER,,
6,input,aliases,Aliases,Organisation aliases,none,false,,list,
7,input,established,Established,Year that organisation was established,none,true,e.g. 1977,,
8,input,kind,Kind,The kind of organisation,none,true,e.g. Facility,,
9,input,labels,Labels,Organisation labels,none,false,e.g. Osservatorio Astronomico di Roma,list,
10,multiple fields,location,Location,Organisation location,none,true,,list,
11,input,ror,ROR,Research organisation registry,none,true,e.g. 02hnp4676,,
